service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13045235,0,0,0,0,0,0,0,20191020,20191110
2773310,0,0,0,0,0,0,0,20191223,20191226
3045235,0,0,0,0,0,0,0,20191019,20191109
2946536,0,0,0,0,0,0,0,20191231,20191231
12773314,0,0,0,0,0,0,0,20191225,20191228
2779762,0,0,0,0,0,0,0,20191101,20191110
2773309,0,0,0,0,0,0,0,20191021,20191230
12773306,0,0,0,0,0,0,0,20191021,20191230
12773312,0,0,0,0,0,0,0,20191027,20191229
12773309,0,0,0,0,0,0,0,20191022,20191231
12779762,0,0,0,0,0,0,0,20191102,20191111
12773308,0,0,0,0,0,0,0,20191017,20191220
12773310,0,0,0,0,0,0,0,20191224,20191227
12946536,0,0,0,0,0,0,0,20200101,20200101
2773312,0,0,0,0,0,0,0,20191026,20191228
2773314,0,0,0,0,0,0,0,20191224,20191227
2773315,0,0,0,0,0,0,0,20191018,20191220
12773317,0,0,0,0,0,0,0,20191026,20191101
2773317,0,0,0,0,0,0,0,20191025,20191031
2773308,0,0,0,0,0,0,0,20191016,20191219
12773315,0,0,0,0,0,0,0,20191019,20191221
2773306,0,0,0,0,0,0,0,20191020,20191229
