service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12773274,0,0,0,0,0,0,0,20191017,20191220
12773275,0,0,0,0,0,0,0,20191020,20191229
12773276,0,0,0,0,0,0,0,20191026,20191228
12773277,0,0,0,0,0,0,0,20191019,20191221
2773272,0,0,0,0,0,0,0,20191020,20191229
2773274,0,0,0,0,0,0,0,20191016,20191219
2773273,0,0,0,0,0,0,0,20191021,20191231
2773276,0,0,0,0,0,0,0,20191025,20191227
2773275,0,0,0,0,0,0,0,20191019,20191228
12773273,0,0,0,0,0,0,0,20191022,20200101
12773272,0,0,0,0,0,0,0,20191021,20191230
2773277,0,0,0,0,0,0,0,20191018,20191220
