service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12773350,0,0,0,0,0,0,0,20191017,20191220
2773358,0,0,0,0,0,0,0,20191224,20191227
2773348,0,0,0,0,0,0,0,20191101,20191110
2773347,0,0,0,0,0,0,0,20191020,20191229
2773356,0,0,0,0,0,0,0,20191018,20191220
2773349,0,0,0,0,0,0,0,20191223,20191226
12773347,0,0,0,0,0,0,0,20191021,20191230
12773348,0,0,0,0,0,0,0,20191102,20191111
12773358,0,0,0,0,0,0,0,20191225,20191228
12773349,0,0,0,0,0,0,0,20191224,20191227
12773355,0,0,0,0,0,0,0,20191026,20200101
2773350,0,0,0,0,0,0,0,20191016,20191219
12773356,0,0,0,0,0,0,0,20191019,20191221
2773351,0,0,0,0,0,0,0,20191021,20191230
12773354,0,0,0,0,0,0,0,20191020,20191229
12773351,0,0,0,0,0,0,0,20191022,20191231
2773354,0,0,0,0,0,0,0,20191019,20191228
2773355,0,0,0,0,0,0,0,20191025,20191231
